# Language file for DOL
# Language used : FRENCH / FRANCAIS
# Create by DOL
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.EN:					Anglais
DetailDisplayHandler.WriteClassicShieldInfos.Medium:	- Shield Size : Moyen
DetailDisplayHandler.WriteClassicShieldInfos.Small:	- Shield Size : Petit
DetailDisplayHandler.WriteClassicShieldInfos.SPD:	- Vitesse de frappe bouclier: {0}
DetailDisplayHandler.WriteClassicWeaponInfos.BaseDPS:	- DPS de base: {0}
DetailDisplayHandler.WriteClassicWeaponInfos.ClampDPS:	- DPS fixe: {0}
DetailDisplayHandler.WriteClassicWeaponInfos.Condition:	- Condition: {0}%
DetailDisplayHandler.WriteClassicWeaponInfos.DamageMod:	Damage Modifiers:
DetailDisplayHandler.WriteClassicWeaponInfos.DamageType:- Damage Type: {0}
DetailDisplayHandler.WriteClassicWeaponInfos.EffDamage:	Effective Damage:
DetailDisplayHandler.WriteClassicWeaponInfos.Quality:	- Qualité: {0}%
DetailDisplayHandler.WriteClassicWeaponInfos.SPD:	- Vitesse de l'arme: {0}
DetailDisplayHandler.WriteHorseInfo.AdvancedHorse:	This is an advanced horse.
DetailDisplayHandler.WriteHorseInfo.Armor:		- Armure: {0}
DetailDisplayHandler.WriteHorseInfo.Barding:		- Barding: None
DetailDisplayHandler.WriteHorseInfo.BasicHorse:		This is a basic horse.
DetailDisplayHandler.WriteHorseInfo.Food:		- Favorite food: Hay and the occasional apple
DetailDisplayHandler.WriteHorseInfo.MountWindow:	To make this horse your active mount, place this icon in the appropriate slot of your Mount window.
DetailDisplayHandler.WriteHorseInfo.Name:		- Name: {0}.
DetailDisplayHandler.WriteHorseInfo.NameMount:		  (Use /namemount to name your horse.)
DetailDisplayHandler.WriteHorseInfo.Quickbar:		To summon this horse, from your Mount window drag the horse icon to your quickbar, and summon by using the quickbar icon.
DetailDisplayHandler.WriteHorseInfo.RvRZzones:		Can't be summoned in RvR zones.
DetailDisplayHandler.WriteHorseInfo.Speed1:		(+35% speed)
DetailDisplayHandler.WriteHorseInfo.Speed2:		(+45% speed)
DetailDisplayHandler.WriteHorseInfo.Summon:		Click this icon in your quickbar to summon (or dismount) your horse.
DetailDisplayHandler.WriteMagicalBonuses.ChargedMagic:	Capacité magique chargée:
DetailDisplayHandler.WriteMagicalBonuses.Charges:	- Charges: {0}
DetailDisplayHandler.WriteMagicalBonuses.FocusBonus:	Bonus en Focus:
DetailDisplayHandler.WriteMagicalBonuses.Level:		- Niveau {0}
DetailDisplayHandler.WriteMagicalBonuses.LevelRequired:	Level Requirement
DetailDisplayHandler.WriteMagicalBonuses.LevelRequired2:	Niveau requis: Niveau {0}
DetailDisplayHandler.WriteMagicalBonuses.MagicAbility:	Capacité magique:
DetailDisplayHandler.WriteMagicalBonuses.MagicBonus:	Bonus magiques:
DetailDisplayHandler.WriteMagicalBonuses.MaxCharges:	- {0} Max
DetailDisplayHandler.WriteMagicalBonuses.StrikeArmor:	- Le sort a une chance d'être lancé lorsque l'ennemi frappe cette armure.
DetailDisplayHandler.WriteMagicalBonuses.StrikeEnemy:	- Le sort a une chance d'être lancé lorsque cette arme frappe un ennemi.
DetailDisplayHandler.WriteMagicalBonuses.UsedItem:	- Le sort a une chance d'être lancé lorsque cet objet est utilisé.
DetailDisplayHandler.WriteMagicalBonuses.UseItem1:	Objet pouvant être utilisé toutes les: {0}
DetailDisplayHandler.WriteMagicalBonuses.UseItem2:	Objet pouvant être utilisé toutes les: 3:00 min.
DetailDisplayHandler.WriteMagicalBonuses.UseItem3:	Peut être réutilisée dans: {0}.
DetailDisplayHandler.WritePoisonInfo.Charges:		- {0} Charges
DetailDisplayHandler.WritePoisonInfo.Level:		- {0} Niveau
DetailDisplayHandler.WritePoisonInfo.LevelRequired:	Niveau requis:
DetailDisplayHandler.WritePoisonInfo.MaxCharges:	- {0} Max
DetailDisplayHandler.WritePoisonInfo.ProcAbility:	Capacité de déclenchement offensif:
DetailDisplayHandler.WritePotionInfo.ChargedMagic:	Capacité magique chargée:
DetailDisplayHandler.WritePotionInfo.Charges:		- {0} Charges
DetailDisplayHandler.WritePotionInfo.Level:		- {0} Niveau
DetailDisplayHandler.WritePotionInfo.LevelRequired:	Niveau requis:
DetailDisplayHandler.WritePotionInfo.MaxCharges:	- {0} Max
DetailDisplayHandler.WritePotionInfo.NoUseInCombat:	Ne peut pas être utilisé en combat
DetailDisplayHandler.WritePotionInfo.UseItem2:		Objet pouvant être utilisé toutes les: 1:00 min
DetailDisplayHandler.WritePotionInfo.UseItem3:		Peut être réutilisée dans: {0}
DetailDisplayHandler.WritePotionInfo.Type:		Type : {0}
DetailDisplayHandler.WritePotionInfo.Value:		Valeur : {0}
DetailDisplayHandler.WritePotionInfo.Target:	Cible : {0}
DetailDisplayHandler.WritePotionInfo.Range:		Portée : {0}
DetailDisplayHandler.WriteUsableClasses.UsableBy:	Utilisable par: 

# /PlayerPickUpRequestHandler
PlayerPickUpRequestHandler.HandlePacket.InvalidTarget:	Votre cible est invalide!
PlayerPickUpRequestHandler.HandlePacket.Target:		Vous devez avoir une cible valide à ramasser.

# /PlayerPositionUpdateHandler
PlayerPositionUpdateHandler.Endurance:			Vous perdez de l'endurance!
PlayerPositionUpdateHandler.Entered:			Vous êtes entré dans {0}.
PlayerPositionUpdateHandler.FallingDamage:		Votre chute vous cause des dommages!
PlayerPositionUpdateHandler.FallPercent:		You take {0}% of your max hits in damage.
PlayerPositionUpdateHandler.SafeFall:			
Les dégâts ont été atténués grâce à votre capacité Safe Fall!
PlayerPositionUpdateHandler.MythSafeFall:		Les dégâts ont été atténués grâce à votre équipment!
PlayerPositionUpdateHandler.UnknownZone:		Zone inconnue, déplacement vers le point de ralliement.

# REALMABILITIES
# /Handlers
# /DashingDefenseAbility
DashingDefenseAbility.AddEffectsInfo.Info1:		
DashingDefenseAbility.AddEffectsInfo.Info2:		Cible: Moi-même
DashingDefenseAbility.AddEffectsInfo.Info3:		Temps d'incantation: instantané
DashingDefenseAbility.Execute.AlreadyEffect:		Vous avez déjà un effet de ce type!
DashingDefenseAbility.Execute.MustInGroup:		Vous devez être dans un groupe pour utiliser cette capacité!

# WORLD
# /AbstractArea
AbstractArea.Entered:					(Région) Vous êtes entré dans {0}.
AbstractArea.Left:					(Région) Vous avez quitté {0}.

# SCRIPTS
# GameEvents
# /Playerenterexit
Scripts.Events.PlayerEnterExit.Entered:			{0} vient d'entrer dans le jeu!
Scripts.Events.PlayerEnterExit.Left:			{0} vient de quitter le jeu!
Scripts.Events.PlayerEnterExit.Staff:			[Membre du staff] {0}

# /Anonymous
Scripts.Players.Anonymous.Error:			Le mode anonyme est désactivé.
Scripts.Players.Anonymous.Off:				Vous avez quitté le mode anonyme.
Scripts.Players.Anonymous.On:				Vous êtes maintenant en mode anonyme.
